Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,14.550000,14.720000,14.470000,14.665000,11.958144,2772916
2014-12-01,14.590000,14.700000,14.480000,14.580000,11.888834,1895468
2014-12-02,14.615000,14.690000,14.440000,14.485000,11.811369,1683721
2014-12-03,14.490000,14.640000,14.480000,14.540000,11.856217,1257297
2014-12-04,14.545000,14.625000,14.290000,14.380000,11.725751,2507093
2014-12-05,14.500000,14.745000,14.500000,14.710000,11.994839,2789883
2014-12-08,14.645000,14.835000,14.580000,14.790000,12.060073,1860375
2014-12-09,14.675000,14.680000,14.305000,14.400000,11.742058,2927851
2014-12-10,14.420000,14.645000,14.375000,14.510000,11.831755,2394645
2014-12-11,14.540000,14.590000,14.320000,14.400000,11.742058,2516335
2014-12-12,14.305000,14.330000,14.005000,14.030000,11.440352,2783970
2014-12-15,14.005000,14.110000,13.705000,13.730000,11.195725,3232393
2014-12-16,13.750000,14.230000,13.540000,14.185000,11.566744,4912059
2014-12-17,14.015000,14.260000,13.930000,14.120000,11.513741,2462029
2014-12-18,14.325000,14.740000,14.235000,14.695000,11.982607,6366952
2014-12-19,14.750000,14.895000,14.625000,14.765000,12.039688,3266658
2014-12-22,14.815000,14.945000,14.760000,14.785000,12.055995,1352226
2014-12-23,14.790000,14.920000,14.670000,14.900000,12.149769,1311131
2014-12-24,14.935000,15.000000,14.860000,14.910000,12.157923,425491
2014-12-29,14.900000,14.995000,14.665000,14.975000,12.210925,1290817
2014-12-30,14.955000,14.960000,14.700000,14.700000,11.986685,1270241
2014-12-31,14.675000,14.790000,14.515000,14.755000,12.031532,494483
2015-01-02,14.850000,14.990000,14.505000,14.685000,11.974454,1702361
2015-01-05,14.610000,14.855000,14.290000,14.320000,11.676825,2380185
2015-01-06,14.360000,14.360000,14.040000,14.120000,11.513741,3051557
2015-01-07,14.205000,14.370000,14.150000,14.230000,11.603436,1757123
2015-01-08,14.385000,14.560000,14.290000,14.495000,11.819524,3018313
2015-01-09,14.545000,14.975000,14.510000,14.700000,11.986685,3464886
2015-01-12,14.780000,14.960000,14.485000,14.605000,11.909219,1887744
2015-01-13,14.765000,15.295000,14.710000,15.210000,12.402550,5821819
2015-01-14,15.075000,15.370000,14.990000,15.220000,12.410704,2934052
2015-01-15,15.310000,15.505000,14.800000,15.440000,12.590096,4339470
2015-01-16,15.380000,15.685000,15.260000,15.605000,12.724641,3475929
2015-01-19,15.635000,15.880000,15.600000,15.790000,12.875493,2845156
2015-01-20,15.880000,15.885000,15.715000,15.845000,12.920342,2463327
2015-01-21,15.855000,15.895000,15.655000,15.860000,12.932573,2608118
2015-01-22,15.815000,16.360001,15.800000,16.250000,13.250587,3980773
2015-01-23,16.320000,16.570000,16.180000,16.254999,13.254663,3647830
2015-01-26,16.200001,16.495001,16.145000,16.295000,13.287281,2739516
2015-01-27,16.250000,16.330000,15.910000,16.139999,13.160891,3561419
2015-01-28,16.250000,16.285000,15.960000,16.209999,13.217969,2090085
2015-01-29,16.139999,16.495001,16.059999,16.455000,13.417748,2549687
2015-01-30,16.504999,16.510000,16.174999,16.254999,13.254663,2106023
2015-02-02,16.275000,16.440001,15.890000,16.084999,13.116042,3569344
2015-02-03,16.150000,16.639999,16.110001,16.424999,13.393286,3784522
2015-02-04,16.445000,16.490000,16.305000,16.480000,13.438134,2197452
2015-02-05,16.375000,16.684999,16.334999,16.485001,13.442211,2581543
2015-02-06,16.475000,16.475000,16.200001,16.280001,13.275049,2070457
2015-02-09,16.170000,16.180000,15.900000,16.040001,13.079350,2435142
2015-02-10,16.090000,16.285000,16.030001,16.250000,13.250587,2512540
2015-02-11,16.250000,16.415001,16.150000,16.295000,13.287281,1530775
2015-02-12,16.275000,16.440001,16.045000,16.275000,13.270973,2604805
2015-02-13,16.334999,16.485001,16.254999,16.430000,13.397363,3198865
2015-02-16,16.424999,16.455000,16.299999,16.360001,13.340283,1316340
2015-02-17,16.309999,16.350000,16.125000,16.330000,13.315821,1320664
2015-02-18,16.350000,16.485001,16.315001,16.389999,13.364746,1854295
2015-02-19,16.334999,16.525000,16.260000,16.520000,13.470752,1986327
2015-02-20,16.490000,16.655001,16.459999,16.590000,13.527830,2089635
2015-02-23,16.660000,16.695000,16.535000,16.645000,13.572680,1859488
2015-02-24,16.690001,17.150000,16.635000,17.070000,13.919233,3531001
2015-02-25,17.135000,17.174999,16.615000,16.840000,13.731685,4553529
2015-02-26,17.200001,17.209999,16.400000,16.980000,13.845844,4946378
2015-02-27,17.000000,17.400000,16.980000,17.400000,14.188321,3268287
2015-03-02,17.475000,17.655001,17.389999,17.434999,14.216859,3104815
2015-03-03,17.145000,17.155001,16.885000,16.920000,13.796919,5851879
2015-03-04,16.980000,17.010000,16.730000,17.000000,13.862153,4068528
2015-03-05,17.020000,17.094999,16.990000,17.080000,13.927385,2065148
2015-03-06,17.090000,17.139999,17.014999,17.020000,13.878461,3356345
2015-03-09,16.959999,17.010000,16.805000,17.004999,13.866229,2320239
2015-03-10,17.000000,17.075001,16.809999,16.980000,13.845844,2284348
2015-03-11,17.020000,17.100000,17.010000,17.084999,13.931462,3708205
2015-03-12,17.100000,17.315001,17.045000,17.299999,14.106778,3418953
2015-03-13,17.299999,17.420000,17.160000,17.299999,14.106778,2921888
2015-03-16,17.350000,17.455000,17.280001,17.395000,14.184245,3275167
2015-03-17,17.400000,17.410000,17.215000,17.320000,14.123088,2697459
2015-03-18,17.330000,17.410000,17.215000,17.389999,14.180166,2465308
2015-03-19,17.434999,17.559999,17.330000,17.440001,14.220939,3381446
2015-03-20,17.455000,17.615000,17.410000,17.510000,14.278016,6265895
2015-03-23,17.490000,17.625000,17.420000,17.570000,14.326941,2320391
2015-03-24,17.549999,17.645000,17.490000,17.580000,14.335097,2497429
2015-03-25,17.549999,17.709999,17.459999,17.695000,14.428868,3595525
2015-03-26,17.690001,17.705000,17.415001,17.535000,14.298405,3560635
2015-03-27,17.559999,18.129999,17.549999,18.070000,14.734653,5000355
2015-03-30,18.100000,18.170000,17.930000,17.975000,14.657187,2355719
2015-03-31,17.910000,18.045000,17.615000,17.615000,14.363635,3107271
2015-04-01,17.530001,17.760000,17.480000,17.635000,14.379945,2956026
2015-04-02,17.600000,17.684999,17.514999,17.620001,14.367713,1362613
2015-04-07,17.754999,18.139999,17.695000,17.959999,14.644956,2633972
2015-04-08,18.004999,18.165001,17.924999,18.080000,14.742807,2442322
2015-04-09,18.209999,18.590000,18.135000,18.590000,15.158673,3179078
2015-04-10,18.655001,18.825001,18.594999,18.825001,15.350297,2394227
2015-04-13,18.799999,18.875000,18.709999,18.830000,15.354372,1564093
2015-04-14,18.809999,18.920000,18.610001,18.690001,15.240214,1707662
2015-04-15,18.750000,19.070000,18.690001,19.000000,15.492995,1926512
2015-04-16,19.000000,19.049999,18.760000,18.995001,15.488918,1515898
2015-04-17,18.990000,19.240000,18.830000,18.990000,15.484839,3275723
2015-04-20,19.004999,19.205000,18.879999,19.080000,15.558229,2181570
2015-04-21,19.110001,19.350000,19.004999,19.174999,15.635695,1871917
2015-04-22,19.155001,19.290001,18.959999,19.070000,15.550075,2209368
2015-04-23,19.035000,19.184999,18.865000,19.014999,15.505225,2153914
2015-04-24,19.120001,19.590000,19.000000,19.565001,15.953708,2651015
2015-04-27,19.590000,19.674999,19.270000,19.625000,16.002632,2422203
2015-04-28,19.615000,19.639999,19.370001,19.545000,15.937401,2533677
2015-04-29,19.514999,19.650000,18.820000,18.900000,15.411451,2793579
2015-04-30,18.855000,19.020000,18.610001,18.920000,15.427762,2838471
2015-05-04,19.035000,19.725000,18.969999,19.549999,15.941474,2846844
2015-05-05,18.940001,18.959999,18.160000,18.180000,15.374857,3679893
2015-05-06,18.180000,18.365000,17.969999,18.045000,15.260687,3184319
2015-05-07,18.004999,18.280001,17.730000,18.209999,15.400227,3001555
2015-05-08,18.330000,18.549999,18.120001,18.535000,15.675081,2709608
2015-05-11,18.575001,18.690001,18.459999,18.660000,15.780792,1638242
2015-05-12,18.510000,18.645000,18.389999,18.485001,15.632795,2491475
2015-05-13,18.559999,18.900000,18.469999,18.730000,15.839992,2749989
2015-05-14,18.735001,19.094999,18.590000,19.025000,16.089474,1811938
2015-05-15,19.090000,19.150000,18.850000,18.969999,16.042959,1685840
2015-05-18,18.975000,19.030001,18.600000,18.915001,15.996447,1305009
2015-05-19,19.000000,19.275000,18.990000,19.219999,16.254385,1795150
2015-05-20,19.200001,19.370001,19.100000,19.340000,16.355871,1424518
2015-05-21,19.309999,19.370001,19.209999,19.285000,16.309357,1391937
2015-05-22,19.309999,19.395000,19.205000,19.240000,16.271297,1127900
2015-05-25,19.299999,19.334999,19.080000,19.120001,16.169815,252861
2015-05-26,19.180000,19.385000,18.900000,18.955000,16.030273,2211492
2015-05-27,19.070000,19.389999,18.900000,19.365000,16.377012,2042491
2015-05-28,19.330000,19.389999,19.049999,19.170000,16.212099,1410411
2015-05-29,19.205000,19.270000,18.860001,18.915001,15.996447,3327932
2015-06-01,19.030001,19.290001,18.945000,19.049999,16.110617,1995325
2015-06-02,19.190001,19.190001,18.840000,18.955000,16.030273,1818884
2015-06-03,19.000000,19.375000,18.969999,19.230000,16.262842,2493682
2015-06-04,19.090000,19.155001,18.870001,18.915001,15.996447,2342469
2015-06-05,18.900000,19.025000,18.549999,18.570000,15.704679,2799232
2015-06-08,18.580000,18.580000,18.195000,18.295000,15.472110,2651766
2015-06-09,18.219999,18.270000,17.905001,18.190001,15.383313,2371696
2015-06-10,18.145000,18.485001,18.070000,18.459999,15.611651,2330623
2015-06-11,18.445000,18.860001,18.379999,18.799999,15.899190,2775240
2015-06-12,18.799999,18.895000,18.330000,18.504999,15.649708,2365929
2015-06-15,18.315001,18.395000,17.885000,17.959999,15.188801,3083628
2015-06-16,17.860001,18.235001,17.745001,18.170000,15.366399,1899238
2015-06-17,18.209999,18.215000,17.850000,17.889999,15.129603,2097981
2015-06-18,17.865000,18.125000,17.570000,18.105000,15.311428,2111204
2015-06-19,18.025000,18.299999,17.910000,18.145000,15.345257,2464244
2015-06-22,18.600000,19.004999,18.459999,18.950001,16.026047,2841894
2015-06-23,19.100000,19.260000,19.035000,19.195000,16.233244,2305988
2015-06-24,19.200001,19.290001,19.055000,19.195000,16.233244,2079038
2015-06-25,19.010000,19.315001,19.004999,19.230000,16.262842,2822895
2015-06-26,19.150000,19.280001,19.000000,19.184999,16.224787,1378367
