Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,94.699997,95.480003,94.260002,95.309998,87.224541,540979
2014-12-01,94.680000,95.910004,94.680000,95.230003,87.151344,433400
2014-12-02,95.500000,96.230003,95.190002,95.889999,87.755341,499248
2014-12-03,95.000000,95.589996,94.820000,95.070000,87.004898,523062
2014-12-04,95.110001,95.860001,94.309998,94.529999,86.510712,462298
2014-12-05,95.000000,95.709999,94.610001,95.489998,87.389275,409404
2014-12-08,95.180000,95.180000,94.349998,94.370003,86.364288,295086
2014-12-09,93.970001,94.260002,92.510002,92.660004,84.799355,523108
2014-12-10,92.930000,93.699997,92.870003,93.199997,85.293541,497246
2014-12-11,92.900002,93.610001,92.879997,93.099998,85.202026,532953
2014-12-12,92.519997,92.750000,90.839996,90.839996,83.133743,548435
2014-12-15,90.699997,91.589996,89.480003,89.610001,82.008095,470334
2014-12-16,89.930000,90.150002,87.900002,90.059998,82.419907,889864
2014-12-17,88.900002,89.690002,88.199997,89.010002,81.459000,654341
2014-12-18,89.879997,91.279999,89.500000,91.260002,83.518120,725799
2014-12-19,91.680000,92.139999,90.809998,91.739998,83.957375,871920
2014-12-22,91.540001,92.639999,91.440002,92.269997,84.442421,294527
2014-12-23,92.489998,93.230003,92.250000,93.029999,85.137962,378602
2014-12-24,92.750000,93.650002,92.370003,92.629997,84.771889,106643
2014-12-29,92.400002,93.389999,92.400002,93.389999,85.467422,283115
2014-12-30,93.080002,93.660004,91.139999,91.139999,83.408302,297822
2014-12-31,91.760002,92.570000,91.139999,92.260002,84.433296,130021
2015-01-02,90.800003,92.019997,90.570000,91.089996,83.362534,334656
2015-01-05,90.550003,91.470001,89.050003,89.110001,81.550507,509713
2015-01-06,89.250000,89.349998,87.949997,88.519997,81.010559,546659
2015-01-07,89.230003,91.089996,88.639999,90.320000,82.657860,681509
2015-01-08,93.059998,95.199997,91.919998,95.070000,87.004898,1109947
2015-01-09,95.720001,96.230003,93.690002,94.160004,86.172104,864989
2015-01-12,94.559998,97.089996,94.550003,96.750000,88.542389,649643
2015-01-13,96.519997,98.300003,96.309998,98.029999,89.713799,783100
2015-01-14,97.099998,98.699997,96.739998,97.279999,89.027420,733089
2015-01-15,98.000000,99.930000,95.480003,99.800003,91.333656,1051903
2015-01-16,99.400002,102.349998,99.400002,102.050003,93.392761,1075138
2015-01-19,101.949997,102.949997,101.750000,102.750000,94.033379,636576
2015-01-20,102.849998,104.050003,102.699997,103.400002,94.628242,645120
2015-01-21,103.099998,103.400002,101.699997,103.099998,94.353691,667416
2015-01-22,103.199997,103.550003,101.000000,102.250000,93.575813,1050872
2015-01-23,102.250000,107.400002,102.000000,106.699997,97.648285,1097896
2015-01-26,106.699997,108.750000,106.400002,107.650002,98.517723,638694
2015-01-27,107.750000,108.599998,105.650002,105.900002,96.916153,628555
2015-01-28,106.800003,107.300003,106.050003,106.949997,97.877083,518139
2015-01-29,106.000000,108.400002,105.849998,108.150002,98.975288,579748
2015-01-30,108.650002,108.650002,106.000000,106.599998,97.556778,780860
2015-02-02,107.349998,108.050003,105.900002,107.699997,98.563461,624731
2015-02-03,107.650002,108.099998,105.150002,105.550003,96.595856,703714
2015-02-04,105.849998,108.199997,105.349998,108.050003,98.883766,642350
2015-02-05,107.349998,108.349998,107.199997,107.800003,98.654984,383424
2015-02-06,106.900002,107.449997,105.449997,105.750000,96.778893,646115
2015-02-09,105.099998,105.949997,104.400002,105.800003,96.824646,455170
2015-02-10,105.900002,107.949997,105.750000,107.150002,98.060112,514533
2015-02-11,106.650002,107.900002,106.400002,107.599998,98.471947,412977
2015-02-12,105.550003,106.349998,102.650002,103.199997,94.445221,1002741
2015-02-13,101.550003,104.650002,101.550003,103.699997,94.902794,763115
2015-02-16,102.650002,104.199997,102.599998,103.300003,94.536728,442249
2015-02-17,102.349998,103.699997,102.099998,103.599998,94.811272,503181
2015-02-18,103.750000,103.949997,102.099998,102.349998,93.667320,506523
2015-02-19,101.900002,104.750000,101.900002,103.900002,95.085823,466770
2015-02-20,103.900002,104.099998,102.849998,103.199997,94.445221,640923
2015-02-23,103.949997,104.750000,103.300003,104.650002,95.772202,319975
2015-02-24,105.000000,105.000000,103.750000,104.400002,95.543419,471578
2015-02-25,104.300003,104.449997,103.250000,103.849998,95.040062,369038
2015-02-26,103.699997,106.000000,103.300003,105.949997,96.961914,409709
2015-02-27,105.500000,106.199997,104.750000,105.949997,96.961914,415103
2015-03-02,105.750000,106.000000,104.800003,105.250000,96.321304,341683
2015-03-03,105.550003,106.300003,104.900002,105.199997,96.275543,428047
2015-03-04,105.250000,106.300003,104.650002,106.300003,97.282219,495543
2015-03-05,106.199997,106.800003,105.599998,106.400002,97.373741,460056
2015-03-06,106.550003,106.900002,106.050003,106.650002,97.602539,556127
2015-03-09,106.000000,106.300003,105.199997,105.800003,96.824646,434235
2015-03-10,105.500000,106.000000,104.650002,105.250000,96.321304,442403
2015-03-11,105.699997,108.199997,105.449997,107.800003,98.654984,632320
2015-03-12,107.800003,107.849998,106.300003,106.550003,97.511024,455850
2015-03-13,106.500000,107.349998,105.849998,107.300003,98.197403,439125
2015-03-16,107.500000,109.300003,107.449997,108.699997,99.478630,416040
2015-03-17,109.050003,109.699997,108.000000,108.800003,99.570137,462093
2015-03-18,108.800003,109.500000,108.199997,109.199997,99.936211,447908
2015-03-19,109.650002,110.500000,107.650002,109.150002,99.890457,640575
2015-03-20,109.000000,109.949997,108.900002,109.150002,99.890457,549386
2015-03-23,108.849998,108.949997,107.349998,108.550003,99.341362,365416
2015-03-24,108.099998,109.300003,107.650002,107.849998,98.700729,555227
2015-03-25,107.900002,108.550003,106.349998,106.550003,97.511024,426915
2015-03-26,106.550003,109.500000,105.650002,107.900002,98.746498,938262
2015-03-27,108.550003,111.099998,108.099998,110.449997,101.080162,808546
2015-03-30,110.849998,111.849998,110.449997,111.150002,101.720795,374444
2015-03-31,110.599998,111.150002,109.400002,110.150002,100.805618,523292
2015-04-01,109.150002,111.150002,108.500000,110.199997,100.851379,476518
2015-04-02,110.400002,111.349998,110.349998,111.250000,101.812309,271389
2015-04-07,112.300003,113.250000,111.650002,112.750000,103.185051,360245
2015-04-08,112.500000,112.900002,111.900002,112.449997,102.910507,301741
2015-04-09,112.599998,113.849998,112.500000,113.800003,104.145988,368420
2015-04-10,114.000000,114.000000,112.849998,113.949997,104.283249,436401
2015-04-13,113.900002,113.949997,112.900002,113.400002,103.779922,396227
2015-04-14,113.250000,113.949997,112.699997,113.300003,103.688393,453828
2015-04-15,113.800003,115.699997,113.300003,115.000000,105.244179,540333
2015-04-16,114.400002,115.099998,113.900002,114.750000,105.015381,405479
2015-04-17,114.800003,115.099998,112.250000,112.500000,102.956268,576637
2015-04-20,113.849998,114.750000,112.449997,112.800003,103.230812,518037
2015-04-21,112.949997,114.449997,112.699997,113.000000,103.413841,473128
2015-04-22,113.000000,113.800003,112.099998,113.599998,103.962952,472346
2015-04-23,116.099998,117.750000,115.500000,116.300003,106.433899,1147699
2015-04-24,117.250000,117.300003,115.800003,117.250000,107.303314,596004
2015-04-27,116.550003,117.550003,115.099998,116.900002,106.982986,452907
2015-04-28,116.900002,117.150002,114.050003,114.750000,105.015381,474863
