Date,Open,High,Low,Close,Adj Close,Volume
2014-11-28,77.349998,77.889999,77.019997,77.860001,61.267452,2608605
2014-12-01,77.470001,78.739998,77.209999,78.379997,61.676628,2657673
2014-12-02,78.199997,78.870003,76.629997,77.599998,61.062859,2902698
2014-12-03,77.769997,78.209999,77.589996,77.870003,61.275337,2301227
2014-12-04,77.769997,78.139999,75.290001,75.500000,59.410400,5667286
2014-12-05,75.849998,76.139999,75.150002,76.139999,59.914005,4380144
2014-12-08,76.160004,76.480003,75.889999,75.889999,59.717285,2061114
2014-12-09,75.510002,75.910004,73.830002,73.970001,58.206459,3814278
2014-12-10,74.370003,75.000000,73.860001,74.059998,58.277260,2552483
2014-12-11,74.750000,75.739998,74.339996,75.180000,59.158585,3597978
2014-12-12,74.580002,74.769997,72.360001,72.599998,57.128410,3296650
2014-12-15,72.500000,73.330002,70.970001,71.099998,55.948063,4276270
2014-12-16,71.720001,73.690002,69.769997,73.480003,57.820866,6671389
2014-12-17,72.779999,74.529999,71.959999,74.099998,58.308746,3659976
2014-12-18,75.699997,76.410004,75.129997,76.169998,59.937614,4610671
2014-12-19,76.300003,76.519997,74.059998,75.379997,59.315956,5880805
2014-12-22,75.480003,76.400002,74.860001,75.220001,59.190056,2296317
2014-12-23,75.629997,76.199997,74.940002,75.639999,59.520561,2136275
2014-12-24,75.699997,75.699997,74.650002,74.989998,59.009079,435110
2014-12-29,75.360001,75.980003,74.750000,75.900002,59.725155,1753559
2014-12-30,75.690002,76.110001,75.000000,75.000000,59.016945,1806551
2014-12-31,75.029999,75.660004,75.010002,75.660004,59.536304,601484
2015-01-02,75.699997,76.580002,74.720001,75.440002,59.363178,1998436
2015-01-05,74.639999,75.320000,72.940002,73.269997,57.655624,4351311
2015-01-06,74.000000,74.690002,73.389999,73.510002,57.844486,3323004
2015-01-07,75.099998,75.099998,73.589996,74.290001,58.458256,4701949
2015-01-08,75.570000,77.570000,75.209999,77.419998,60.921223,4660970
2015-01-09,77.300003,77.339996,74.330002,74.879997,58.922516,3747943
2015-01-12,75.440002,76.919998,74.680000,75.930000,59.748760,2971481
2015-01-13,75.519997,77.639999,75.339996,76.830002,60.456951,2586686
2015-01-14,76.290001,77.540001,75.260002,75.730003,59.591389,2966315
2015-01-15,76.419998,78.000000,73.199997,77.839996,61.251713,5063449
